Gene	Splicing.ID	CHR	P0
DDX11L1	DDX11L1	1	11869
WASH7P	WASH7P	1	14413
MIR1302-11	MIR1302-11	1	29807
FAM138A	FAM138A	1	34554
OR4G4P	OR4G4P	1	52473
OR4G11P	OR4G11P	1	62948
OR4F5	OR4F5	1	69091
RP11-34P13.7	RP11-34P13.7	1	89295
CICP27	CICP27	1	131025
AL627309.1	AL627309.1	1	134901
RP11-34P13.15	RP11-34P13.15	1	135803
RP11-34P13.14	RP11-34P13.14	1	139790
RP11-34P13.13	RP11-34P13.13	1	141474
RNU6-1100P	RNU6-1100P	1	157784
RP11-34P13.9	RP11-34P13.9	1	160446
AP006222.2	AP006222.2	1	227615
RP4-669L17.10	RP4-669L17.10	1	317720
RP4-669L17.8	RP4-669L17.8	1	326515
CICP7	CICP7	1	329431
RP4-669L17.4	RP4-669L17.4	1	334126
OR4F29	OR4F29	1	367640
WBP1LP7	WBP1LP7	1	379105
AL732372.1	AL732372.1	1	450820
RP4-669L17.2	RP4-669L17.2	1	453633
RP5-857K21.15	RP5-857K21.15	1	459656
RP4-669L17.1	RP4-669L17.1	1	470971
RP5-857K21.1	RP5-857K21.1	1	521369
RP5-857K21.2	RP5-857K21.2	1	523009
RP5-857K21.3	RP5-857K21.3	1	530463
RP5-857K21.4	RP5-857K21.4	1	536816
RP5-857K21.5	RP5-857K21.5	1	562757
MTND1P23	MTND1P23	1	564442
MTND2P28	MTND2P28	1	565020
hsa-mir-6723	hsa-mir-6723	1	566454
RP5-857K21.7	RP5-857K21.7	1	568137
MTATP8P1	MTATP8P1	1	568915
MTATP6P1	MTATP6P1	1	569122
RP5-857K21.11	RP5-857K21.11	1	569757
WBP1LP6	WBP1LP6	1	610222
OR4F16	OR4F16	1	621059
CICP3	CICP3	1	657472
RP11-206L10.1	RP11-206L10.1	1	661611
RP11-206L10.3	RP11-206L10.3	1	677193
RNU6-1199P	RNU6-1199P	1	693613
RP11-206L10.5	RP11-206L10.5	1	694412
RP11-206L10.4	RP11-206L10.4	1	696291
RP11-206L10.2	RP11-206L10.2	1	700306
RP11-206L10.9	RP11-206L10.9	1	714150
RP11-206L10.8	RP11-206L10.8	1	736259
AL669831.1	AL669831.1	1	738532
RP11-206L10.10	RP11-206L10.10	1	745542
FAM87B	FAM87B	1	752751
